Data type,Cancer group/site,Year,Sex,Age group (years),Count,"Age-specific rate
(per 100,000)","Age-standardised rate
(per 100,000)",Mean age (years),Median age (years),,ICD10 codes
Actual,Melanoma of the skin,2013,Males,50–54,65,8.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2013,Males,55–59,73,10.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2013,Males,60–64,115,18.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2013,Males,65–69,147,27.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2013,Males,70–74,134,35.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2013,Males,75–79,147,53.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2013,Males,80–84,178,91.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2013,Males,85–89,113,102.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2013,Males,90+,56,124.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2013,Males,Unknown,0,. .,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2014,Males,00–04,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2014,Males,05–09,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2014,Males,10–14,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2014,Males,15–19,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2014,Males,20–24,2,0.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2014,Males,25–29,5,0.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2014,Males,30–34,6,0.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2014,Males,35–39,13,1.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2014,Males,40–44,20,2.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2014,Males,45–49,23,3.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2014,Males,50–54,52,6.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2014,Males,55–59,70,10.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2014,Males,60–64,104,16.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2014,Males,65–69,103,18.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2014,Males,70–74,118,29.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2014,Males,75–79,156,54.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2014,Males,80–84,156,79.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2014,Males,85–89,108,93.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2014,Males,90+,46,94.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2014,Males,Unknown,0,. .,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2015,Males,00–04,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2015,Males,05–09,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2015,Males,10–14,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2015,Males,15–19,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2015,Males,20–24,1,0.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2015,Males,25–29,5,0.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2015,Males,30–34,5,0.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2015,Males,35–39,18,2.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2015,Males,40–44,24,2.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2015,Males,45–49,28,3.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2015,Males,50–54,52,6.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2015,Males,55–59,64,9.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2015,Males,60–64,92,14.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2015,Males,65–69,105,18.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2015,Males,70–74,124,29.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2015,Males,75–79,122,40.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2015,Males,80–84,151,76.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2015,Males,85–89,126,105.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2015,Males,90+,79,150.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2015,Males,Unknown,0,. .,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2016,Males,00–04,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2016,Males,05–09,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2016,Males,10–14,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2016,Males,15–19,1,0.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2016,Males,20–24,1,0.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2016,Males,25–29,2,0.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2016,Males,30–34,8,0.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2016,Males,35–39,15,1.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2016,Males,40–44,20,2.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2016,Males,45–49,24,3.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2016,Males,50–54,34,4.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2016,Males,55–59,53,7.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2016,Males,60–64,61,9.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2016,Males,65–69,128,21.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2016,Males,70–74,102,23.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2016,Males,75–79,114,37.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2016,Males,80–84,118,58.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2016,Males,85–89,115,93.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2016,Males,90+,56,98.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2016,Males,Unknown,0,. .,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2017,Males,00–04,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2017,Males,05–09,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2017,Males,10–14,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2017,Males,15–19,1,0.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2017,Males,20–24,2,0.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2017,Males,25–29,1,0.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2017,Males,30–34,5,0.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2017,Males,35–39,7,0.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2017,Males,40–44,9,1.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2017,Males,45–49,27,3.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2017,Males,50–54,27,3.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2017,Males,55–59,59,8.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2017,Males,60–64,86,13.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2017,Males,65–69,116,19.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2017,Males,70–74,108,23.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2017,Males,75–79,117,36.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2017,Males,80–84,135,64.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2017,Males,85–89,121,97.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2017,Males,90+,81,134.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2017,Males,Unknown,0,. .,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2018,Males,00–04,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2018,Males,05–09,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2018,Males,10–14,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2018,Males,15–19,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2018,Males,20–24,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2018,Males,25–29,4,0.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2018,Males,30–34,8,0.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2018,Males,35–39,11,1.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2018,Males,40–44,12,1.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2018,Males,45–49,27,3.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2018,Males,50–54,31,4.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2018,Males,55–59,62,8.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2018,Males,60–64,85,12.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2018,Males,65–69,102,17.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2018,Males,70–74,131,26.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2018,Males,75–79,143,42.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2018,Males,80–84,140,64.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2018,Males,85–89,113,89.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2018,Males,90+,96,149.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2018,Males,Unknown,0,. .,. .,. .,. ., ,C43
Projections,Melanoma of the skin,2019,Males,00–04,0,0.0,. .,. .,. ., ,C43
Projections,Melanoma of the skin,2019,Males,05–09,0,0.0,. .,. .,. ., ,C43
Projections,Melanoma of the skin,2019,Males,10–14,0,0.0,. .,. .,. ., ,C43
Projections,Melanoma of the skin,2019,Males,15–19,0,0.0,. .,. .,. ., ,C43
Projections,Melanoma of the skin,2019,Males,20–24,1,0.1,. .,. .,. ., ,C43
Projections,Melanoma of the skin,2019,Males,25–29,2,0.2,. .,. .,. ., ,C43
Projections,Melanoma of the skin,2019,Males,30–34,3,0.3,. .,. .,. ., ,C43
Projections,Melanoma of the skin,2019,Males,35–39,11,1.2,. .,. .,. ., ,C43
Projections,Melanoma of the skin,2019,Males,40–44,13,1.6,. .,. .,. ., ,C43
Projections,Melanoma of the skin,2019,Males,45–49,24,2.9,. .,. .,. ., ,C43
Projections,Melanoma of the skin,2019,Males,50–54,29,3.9,. .,. .,. ., ,C43
Projections,Melanoma of the skin,2019,Males,55–59,55,7.3,. .,. .,. ., ,C43
Projections,Melanoma of the skin,2019,Males,60–64,77,11.4,. .,. .,. ., ,C43
Projections,Melanoma of the skin,2019,Males,65–69,102,17.1,. .,. .,. ., ,C43
Projections,Melanoma of the skin,2019,Males,70–74,109,21.0,. .,. .,. ., ,C43
Projections,Melanoma of the skin,2019,Males,75–79,133,37.9,. .,. .,. ., ,C43
Projections,Melanoma of the skin,2019,Males,80–84,142,62.2,. .,. .,. ., ,C43
Projections,Melanoma of the skin,2019,Males,85–89,122,94.5,. .,. .,. ., ,C43
Projections,Melanoma of the skin,2019,Males,90+,92,133.4,. .,. .,. ., ,C43
Projections,Melanoma of the skin,2020,Males,00–04,0,0.0,. .,. .,. ., ,C43
Projections,Melanoma of the skin,2020,Males,05–09,0,0.0,. .,. .,. ., ,C43
Projections,Melanoma of the skin,2020,Males,10–14,0,0.0,. .,. .,. ., ,C43
Projections,Melanoma of the skin,2020,Males,15–19,0,0.0,. .,. .,. ., ,C43
Projections,Melanoma of the skin,2020,Males,20–24,1,0.1,. .,. .,. ., ,C43
Projections,Melanoma of the skin,2020,Males,25–29,2,0.2,. .,. .,. ., ,C43
Projections,Melanoma of the skin,2020,Males,30–34,2,0.2,. .,. .,. ., ,C43
Projections,Melanoma of the skin,2020,Males,35–39,11,1.2,. .,. .,. ., ,C43
Projections,Melanoma of the skin,2020,Males,40–44,11,1.4,. .,. .,. ., ,C43
Projections,Melanoma of the skin,2020,Males,45–49,22,2.7,. .,. .,. ., ,C43
Projections,Melanoma of the skin,2020,Males,50–54,27,3.5,. .,. .,. ., ,C43
Projections,Melanoma of the skin,2020,Males,55–59,51,6.7,. .,. .,. ., ,C43
Projections,Melanoma of the skin,2020,Males,60–64,74,10.7,. .,. .,. ., ,C43
Projections,Melanoma of the skin,2020,Males,65–69,97,16.1,. .,. .,. ., ,C43
Projections,Melanoma of the skin,2020,Males,70–74,101,18.9,. .,. .,. ., ,C43
Projections,Melanoma of the skin,2020,Males,75–79,133,36.2,. .,. .,. ., ,C43
Projections,Melanoma of the skin,2020,Males,80–84,142,59.9,. .,. .,. ., ,C43
Projections,Melanoma of the skin,2020,Males,85–89,121,93.5,. .,. .,. ., ,C43
Projections,Melanoma of the skin,2020,Males,90+,95,135.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1982,Females,00–04,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1982,Females,05–09,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1982,Females,10–14,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1982,Females,15–19,1,0.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1982,Females,20–24,3,0.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1982,Females,25–29,9,1.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1982,Females,30–34,11,1.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1982,Females,35–39,9,1.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1982,Females,40–44,13,3.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1982,Females,45–49,13,3.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1982,Females,50–54,20,5.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1982,Females,55–59,14,3.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1982,Females,60–64,17,5.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1982,Females,65–69,29,10.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1982,Females,70–74,29,12.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1982,Females,75–79,18,11.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1982,Females,80–84,13,12.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1982,Females,85–89,12,22.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1982,Females,90+,5,20.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1982,Females,Unknown,0,. .,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1983,Females,00–04,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1983,Females,05–09,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1983,Females,10–14,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1983,Females,15–19,2,0.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1983,Females,20–24,3,0.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1983,Females,25–29,9,1.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1983,Females,30–34,8,1.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1983,Females,35–39,8,1.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1983,Females,40–44,19,4.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1983,Females,45–49,23,6.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1983,Females,50–54,19,5.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1983,Females,55–59,29,7.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1983,Females,60–64,25,7.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1983,Females,65–69,28,9.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1983,Females,70–74,27,11.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1983,Females,75–79,27,16.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1983,Females,80–84,13,12.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1983,Females,85–89,15,27.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1983,Females,90+,6,23.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1983,Females,Unknown,0,. .,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1984,Females,00–04,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1984,Females,05–09,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1984,Females,10–14,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1984,Females,15–19,2,0.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1984,Females,20–24,2,0.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1984,Females,25–29,6,0.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1984,Females,30–34,11,1.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1984,Females,35–39,14,2.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1984,Females,40–44,16,3.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1984,Females,45–49,19,4.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1984,Females,50–54,13,3.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1984,Females,55–59,17,4.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1984,Females,60–64,27,7.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1984,Females,65–69,26,9.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1984,Females,70–74,32,12.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1984,Females,75–79,22,12.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1984,Females,80–84,20,17.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1984,Females,85–89,11,19.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1984,Females,90+,5,18.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1984,Females,Unknown,0,. .,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1985,Females,00–04,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1985,Females,05–09,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1985,Females,10–14,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1985,Females,15–19,2,0.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1985,Females,20–24,1,0.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1985,Females,25–29,8,1.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1985,Females,30–34,14,2.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1985,Females,35–39,15,2.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1985,Females,40–44,11,2.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1985,Females,45–49,21,5.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1985,Females,50–54,25,7.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1985,Females,55–59,30,8.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1985,Females,60–64,26,7.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1985,Females,65–69,26,8.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1985,Females,70–74,20,7.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1985,Females,75–79,22,12.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1985,Females,80–84,21,18.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1985,Females,85–89,12,19.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1985,Females,90+,15,52.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1985,Females,Unknown,0,. .,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1986,Females,00–04,1,0.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1986,Females,05–09,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1986,Females,10–14,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1986,Females,15–19,1,0.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1986,Females,20–24,1,0.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1986,Females,25–29,5,0.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1986,Females,30–34,11,1.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1986,Females,35–39,16,2.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1986,Females,40–44,18,3.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1986,Females,45–49,15,3.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1986,Females,50–54,19,5.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1986,Females,55–59,21,5.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1986,Females,60–64,30,8.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1986,Females,65–69,30,9.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1986,Females,70–74,36,13.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1986,Females,75–79,29,15.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1986,Females,80–84,19,16.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1986,Females,85–89,14,21.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1986,Females,90+,4,13.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1986,Females,Unknown,0,. .,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1987,Females,00–04,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1987,Females,05–09,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1987,Females,10–14,1,0.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1987,Females,15–19,1,0.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1987,Females,20–24,3,0.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1987,Females,25–29,8,1.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1987,Females,30–34,9,1.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1987,Females,35–39,19,3.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1987,Females,40–44,19,3.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1987,Females,45–49,19,4.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1987,Females,50–54,25,6.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1987,Females,55–59,14,3.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1987,Females,60–64,27,7.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1987,Females,65–69,23,7.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1987,Females,70–74,33,12.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1987,Females,75–79,30,15.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1987,Females,80–84,24,19.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1987,Females,85–89,14,21.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1987,Females,90+,12,38.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1987,Females,Unknown,0,. .,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1988,Females,00–04,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1988,Females,05–09,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1988,Females,10–14,1,0.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1988,Females,15–19,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1988,Females,20–24,4,0.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1988,Females,25–29,7,1.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1988,Females,30–34,11,1.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1988,Females,35–39,22,3.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1988,Females,40–44,15,2.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1988,Females,45–49,14,3.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1988,Females,50–54,15,4.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1988,Females,55–59,21,5.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1988,Females,60–64,26,7.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1988,Females,65–69,34,10.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1988,Females,70–74,36,13.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1988,Females,75–79,36,17.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1988,Females,80–84,28,21.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1988,Females,85–89,17,25.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1988,Females,90+,6,18.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1988,Females,Unknown,0,. .,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1989,Females,00–04,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1989,Females,05–09,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1989,Females,10–14,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1989,Females,15–19,2,0.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1989,Females,20–24,2,0.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1989,Females,25–29,3,0.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1989,Females,30–34,8,1.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1989,Females,35–39,12,1.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1989,Females,40–44,22,3.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1989,Females,45–49,24,5.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1989,Females,50–54,18,4.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1989,Females,55–59,22,6.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1989,Females,60–64,27,7.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1989,Females,65–69,25,7.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1989,Females,70–74,26,9.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1989,Females,75–79,42,19.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1989,Females,80–84,26,19.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1989,Females,85–89,15,21.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1989,Females,90+,7,21.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1989,Females,Unknown,0,. .,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1990,Females,00–04,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1990,Females,05–09,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1990,Females,10–14,1,0.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1990,Females,15–19,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1990,Females,20–24,3,0.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1990,Females,25–29,9,1.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1990,Females,30–34,10,1.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1990,Females,35–39,20,3.0,. .,. .,. ., ,C43
